Manual,Exact Match,chrF,BLEU,ROUGE-L,Edit Distance
3,0,0.47465044801668954,0.275274274525298,0.35294117147128035,0.432712215320911
3,0,0.3739603450805103,0.04620256681003074,0.19354838251821027,0.3629032258064516
2,0,0.5361682490358961,0.19505518236282093,0.2857142807256236,0.4405594405594405
1,0,0.12751647294027754,0.004851741967283514,0.07999999500000032,0.22535211267605637
2,0,0.553917017073224,0.17060592700737412,0.5161290273881375,0.5333333333333333
3,0,0.2915304385651656,0.031170019276349468,0.2758620641141499,0.4339622641509434
6,0,0.7604524715832911,0.6132297420585351,0.6896551674197384,0.6595744680851063
4,0,0.3894989591581919,0.01340082578177889,0.1599999956480001,0.2962962962962963
3,0,0.40531367831177106,0.01520779505248453,0.2424242374288339,0.36416184971098264
3,0,0.1718018153870405,0.040824829046386304,0.18181817685950424,0.25
2,0,0.36235295070306356,0.028927969316143217,0.37499999507812504,0.33333333333333337
4,0,0.4793991048209571,0.0342347495586902,0.5517241329369797,0.3429951690821256
3,0,0.501994700551643,0.026801651563557783,0.4374999951757813,0.2795031055900621
2,0,0.3921602703206915,0.018693000799960027,0.27027026556610667,0.383399209486166
2,0,0.33858374565362886,0.012109013026441871,0.2580645113839751,0.3125
3,0,0.3320143875456874,0.026834935775191766,0.3684210476454294,0.4061135371179039
4,0,0.3755675927823486,0.06692987524817784,0.36363635864669425,0.305439330543933
3,0,0.29115102091178285,0.011620839902894897,0.16326530122448993,0.3024523160762943
3,0,0.4064497806170764,0.024111778303047057,0.3888888840277778,0.27835051546391754
2,0,0.23337609219120858,0.016308317181772742,0.15384614884615402,0.38754325259515576
1,0,0.028654651785870542,1.248840993937991e-08,0.030769229093491217,0.054409005628517804
2,0,0.12130883907613473,0.010733825545492848,0.15999999507200013,0.1923076923076923
4,0,0.4113731621340644,0.05146852383843664,0.29268292207019636,0.4689265536723164
2,0,0.24717145339798566,0.03266996347141534,0.39999999500800004,0.47959183673469385
2,0,0.0647100306080504,0.0,0.08333332847222251,0.15384615384615385
1,0,1e-16,0.0,0.0,0.0
5,0,0.4648540427970291,0.16235674858647758,0.8571428522448981,0.4807692307692307
4,0,0.4807406106360217,0.6004287712485592,0.7058823479584776,0.6415094339622642
2,0,0.03144654088050323,0.0,0.0,0.023809523809523836
1,0,0.120233744485572,0.0169861974906263,0.1666666618055557,0.2016806722689075
10,1,1.0,1.0,0.999999995,1.0
4,0,0.4467591424802005,0.3237722713145643,0.5454545408264463,0.3975903614457831
