Manual,Exact Match,chrF,BLEU,ROUGE-L,Edit Distance
2,0,0.07313233793159458,0.00015374373368095501,0.2325581362249865,0.11611374407582942
2,0,0.4650399414478577,0.29845667893974803,0.42424241935720847,0.4344473007712082
3,0,0.12301587301587309,0.0,0.0,0.049180327868852514
2,0,0.2554260554260554,0.013217947626377298,0.1111111083333334,0.07999999999999996
3,0,0.40956946408068867,0.09961757329676682,0.3272727223537191,0.32399999999999995
2,0,0.3884185561767939,0.18244057032399333,0.5294117597750866,0.4794520547945206
1,0,0.1829678407139178,0.0348749450182049,0.2777777730246914,0.28671328671328666
2,0,0.2512254982704053,0.014400124446705301,0.26086956045368626,0.31707317073170727
4,0,0.6894232831975002,0.16451929399933107,0.43478260415879016,0.3471074380165289
2,0,0.4528945713783181,0.014612432574893431,0.28571428074577987,0.28025477707006374
3,0,0.389439972022853,0.04895332185090616,0.42424241946740127,0.3767441860465116
2,0,0.23269616432644044,0.012335276124847874,0.08695651720226867,0.2847682119205298
3,0,0.37637042447399344,0.03478700554542394,0.24999999500000009,0.2210526315789474
2,0,0.27748451428174054,0.02777619034011792,0.12499999507812519,0.33653846153846156
3,0,0.6955338117325153,0.03602080288207364,0.44444444043209885,0.18478260869565222
4,0,0.28051362517868467,0.10785809837243004,0.8571428522448981,0.6363636363636364
3,0,0.49145760848811265,0.05460916037468706,0.3333333283446712,0.4511784511784511
2,0,0.34775953299784423,0.013868787330844939,0.18181817681818196,0.3667883211678832
2,0,0.32084432138244073,0.007144717698130144,0.20588234795847765,0.32704402515723274
3,0,0.46264163756668947,0.024048179389846543,0.34999999501250006,0.4574898785425101
1,0,0.01753926723417307,1.1824288739048537e-07,0.08510638107741064,0.036553524804177506
1,0,0.004487709253853446,1.457124393484134e-40,0.03636363600661157,0.005747126436781658
2,0,0.25387027591747297,0.014628063653657535,0.22222221777777784,0.36
1,0,0.11291614767153692,0.01553712569276035,0.11111110611111134,0.34523809523809523
1,0,0.10496191458452396,0.014193196666109915,0.24999999531250006,0.20394736842105265
5,0,0.07483600936251654,0.036015288308423515,0.24999999531250006,0.2558139534883721
4,0,0.8581155722894659,0.16348126556655487,0.999999995,0.38636363636363635
10,1,1.0,0.5623413251903491,0.999999995,1.0
6,0,1e-16,0.0,0.0,0.045454545454545414
1,0,0.15657576550745486,0.0,0.0,0.34545454545454546
1,0,0.06724484665661143,0.0,0.0,0.0
2,0,0.248994425852011,0.025098621243978974,0.22222221728395072,0.29357798165137616
